['Ansible', 'AstroPy', 'Attrs', 'BeeWare', 'Bottle', 'BuildBot', 'Celery', 'CherryPy']
['Chopsticks', 'Click', 'Attrs', 'Coala', 'Cookiecutter', 'Cython', 'Django', 'Elsa']
['Ansible', 'Fabric', 'Flask', 'IPython', 'Jinja', 'Cython', 'Jupyter', 'Jython']
['Ansible', 'Kivy', 'lxml', 'mako', 'Matplotlib', 'MicroPython', 'Ninja IDE', 'Elsa']
['Numpy', 'OpenStack', 'Attrs', 'mako', 'Jinja', 'peewee', 'Plone', 'PonyORM']
['Chopsticks', 'AstroPy', 'PyCon CZ', 'PyCon PL', 'Jinja', 'PyCon SK', 'Ninja IDE', 'PyData']
['Numpy', 'AstroPy', 'lxml', 'IPython', 'Pygame', 'Pyglet', 'Django', 'PyLadies']
['pymunk', 'OpenStack', 'lxml', 'Coala', 'PyPI', 'BuildBot', 'Jupyter', 'PyData']
['Ansible', 'PyPy', 'Pyramid', 'Pytest', 'PyPI', 'PyCon SK', 'Django', 'PonyORM']
['pymunk', 'Python', 'Pyramid', 'BeeWare', 'Jinja', 'Pyglet', 'PyTorch', 'Elsa']
['Pyvo', 'Click', 'PyCon CZ', 'IPython', 'Matplotlib', 'BuildBot', 'PyTorch', 'PonyORM']

['Numpy', 'PyPy', 'Read the docs', 'BeeWare', 'Matplotlib', 'Cython', 'SaltStack', 'PyData']
['Chopsticks', 'Kivy', 'scipy', 'BeeWare', 'Pygame', 'Sentry', 'Jupyter', 'PonyORM']
['Sphinx', 'Spyder', 'Chopsticks', 'pymunk', 'Numpy', 'Ansible', 'Pyvo', 'SQLAlchemy']
['Spyder', 'Click', 'lxml', 'Pytest', 'Jinja', 'Sentry', 'SaltStack', 'CherryPy']
['Chopsticks', 'Fabric', 'Pyramid', 'mako', 'SunPy', 'BuildBot', 'SaltStack', 'PyLadies']
['Chopsticks', 'PyPy', 'lxml', 'SymPy', 'Bottle', 'peewee', 'PyTorch', 'Jython']
['Numpy', 'Fabric', 'PyCon CZ', 'SymPy', 'PyPI', 'Sentry', 'Celery', 'Elsa']
['Spyder', 'Fabric', 'Read the docs', 'Coala', 'Bottle', 'Pyglet', 'Ninja IDE', 'PonyORM']
['Spyder', 'PyPy', 'Flask', 'PyCon PL', 'Pygame', 'BuildBot', 'Plone', 'Elsa']
['Sphinx', 'PyLadies', 'PonyORM', 'PyData', 'Toga', 'Jython', 'Elsa', 'CherryPy']
['SQLAlchemy', 'PyPy', 'PyCon CZ', 'mako', 'Cookiecutter', 'Pyglet', 'Jupyter', 'CherryPy']

['Sphinx', 'PyCon SK', 'Pyglet', 'peewee', 'Cython', 'MicroPython', 'BuildBot', 'Sentry']
['Pyvo', 'Kivy', 'Attrs', 'PyCon PL', 'PyPI', 'Pyglet', 'SaltStack', 'Jython']
['pymunk', 'AstroPy', 'Flask', 'SymPy', 'Cookiecutter', 'MicroPython', 'SaltStack', 'PonyORM']
['Sphinx', 'Python', 'Fabric', 'Kivy', 'AstroPy', 'OpenStack', 'PyPy', 'Click']
['Pyvo', 'OpenStack', 'Pyramid', 'SymPy', 'Pygame', 'Cython', 'Ninja IDE', 'CherryPy']
['Numpy', 'Python', 'scipy', 'Pytest', 'Cookiecutter', 'BuildBot', 'Ninja IDE', 'Jython']
